geometry_id,mesh_id,clscale,clmax,mesh_filepath
spheroid_rx_4.464_rz_7.86,spheroid_rx_4.464_rz_7.86_NTheta_0,,,
spheroid_rx_4.336_rz_2.091,spheroid_rx_4.336_rz_2.091_NTheta_0,,,
spheroid_rx_0.863_rz_9.657,spheroid_rx_0.863_rz_9.657_NTheta_0,,,
spheroid_rx_3.826_rz_4.871,spheroid_rx_3.826_rz_4.871_NTheta_0,,,
spheroid_rx_3.324_rz_1.787,spheroid_rx_3.324_rz_1.787_NTheta_0,,,
spheroid_rx_0.794_rz_3.442,spheroid_rx_0.794_rz_3.442_NTheta_0,,,
spheroid_rx_2.615_rz_1.944,spheroid_rx_2.615_rz_1.944_NTheta_0,,,
spheroid_rx_8.211_rz_6.36,spheroid_rx_8.211_rz_6.36_NTheta_0,,,
spheroid_rx_7.14_rz_9.122,spheroid_rx_7.14_rz_9.122_NTheta_0,,,
spheroid_rx_1.553_rz_6.578,spheroid_rx_1.553_rz_6.578_NTheta_0,,,
spheroid_rx_7.471_rz_0.318,spheroid_rx_7.471_rz_0.318_NTheta_0,,,
spheroid_rx_8.175_rz_0.747,spheroid_rx_8.175_rz_0.747_NTheta_0,,,
spheroid_rx_0.028_rz_0.225,spheroid_rx_0.028_rz_0.225_NTheta_0,,,
spheroid_rx_7.241_rz_9.987,spheroid_rx_7.241_rz_9.987_NTheta_0,,,
spheroid_rx_6.525_rz_8.484,spheroid_rx_6.525_rz_8.484_NTheta_0,,,
spheroid_rx_5.76_rz_8.236,spheroid_rx_5.76_rz_8.236_NTheta_0,,,
spheroid_rx_0.625_rz_6.497,spheroid_rx_0.625_rz_6.497_NTheta_0,,,
spheroid_rx_4.236_rz_2.168,spheroid_rx_4.236_rz_2.168_NTheta_0,,,
spheroid_rx_6.324_rz_1.493,spheroid_rx_6.324_rz_1.493_NTheta_0,,,
spheroid_rx_5.978_rz_7.667,spheroid_rx_5.978_rz_7.667_NTheta_0,,,
spheroid_rx_6.957_rz_2.809,spheroid_rx_6.957_rz_2.809_NTheta_0,,,
spheroid_rx_5.387_rz_8.87,spheroid_rx_5.387_rz_8.87_NTheta_0,,,
spheroid_rx_4.041_rz_3.929,spheroid_rx_4.041_rz_3.929_NTheta_0,,,
spheroid_rx_3.148_rz_8.413,spheroid_rx_3.148_rz_8.413_NTheta_0,,,
spheroid_rx_5.125_rz_6.023,spheroid_rx_5.125_rz_6.023_NTheta_0,,,
spheroid_rx_8.252_rz_0.506,spheroid_rx_8.252_rz_0.506_NTheta_0,,,
spheroid_rx_9.191_rz_4.342,spheroid_rx_9.191_rz_4.342_NTheta_0,,,
spheroid_rx_5.259_rz_8.395,spheroid_rx_5.259_rz_8.395_NTheta_0,,,
spheroid_rx_9.372_rz_1.944,spheroid_rx_9.372_rz_1.944_NTheta_0,,,
spheroid_rx_1.835_rz_2.248,spheroid_rx_1.835_rz_2.248_NTheta_0,,,
spheroid_rx_2.647_rz_2.258,spheroid_rx_2.647_rz_2.258_NTheta_0,,,
spheroid_rx_0.491_rz_8.857,spheroid_rx_0.491_rz_8.857_NTheta_0,,,
spheroid_rx_8.957_rz_8.853,spheroid_rx_8.957_rz_8.853_NTheta_0,,,
spheroid_rx_1.36_rz_6.241,spheroid_rx_1.36_rz_6.241_NTheta_0,,,
spheroid_rx_4.288_rz_8.957,spheroid_rx_4.288_rz_8.957_NTheta_0,,,
